Name,Short,Code,Smiles
Gal b1-3 GalAc (Conformation 4),Gal b1-3 GalAc,0040,CC(O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
Gal b1-4 GlcAc (Conformation 1),Gal b1-4 GlcAc,0041,CC(O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O
Gal b1-4 GlcAc (Conformation 2),Gal b1-4 GlcAc,0042,CC(O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O
Gal b1-4 GlcAc (Conformation 3),Gal b1-4 GlcAc,0043,CC(O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O
Gal b1-4 GlcAc (Conformation 4),Gal b1-4 GlcAc,0044,CC(O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O
NeuAc a2-6 Gal,NeuAc a2-6 Gal,0045,CC(O)N[C@@H]1[C@@H](O)C[C@](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@H]2O)(C(O)O)O[C@H]1[C@H](O)[C@H](O)CO
GlcAc b1-2 Man (Conformation 1),GlcAc b1-2 Man,0046,CC(O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
GlcAc b1-2 Man (Conformation 2),GlcAc b1-2 Man,0047,CC(O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
GlcAc b1-2 Man (Conformation 3),GlcAc b1-2 Man,0048,CC(O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
GlcAc b1-2 Man (Conformation 4),GlcAc b1-2 Man,0049,CC1N[C@H]2[C@H](O[C@H]3[C@@H](OO1)[C@H](O)[C@@H](CO)O[C@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O
Glc a1-4 Glc,Glc a1-4 Glc,0050,
Gal a1-4 Gal (Conformation 1),Gal a1-4 Gal,0051,OC[C@H]1O[C@H](O[C@H]2[C@@H](CO)O[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
Gal a1-4 Gal (Conformation 2),Gal a1-4 Gal,0052,OC[C@H]1O[C@H](O[C@H]2[C@@H](CO)O[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
Gal a1-4 Gal (Conformation 3),Gal a1-4 Gal,0053,OC[C@H]1O[C@H](O[C@H]2[C@@H](CO)O[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
Man a1-4 Man (Conformation 1),Man a1-4 Man,0054,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
Man a1-4 Man (Conformation 2),Man a1-4 Man,0055,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
Man a1-4 Man (Conformation 3),Man a1-4 Man,0056,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
Gal a1-3 Gal (Conformation 1),Gal a1-3 Gal,0057,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1O
Gal a1-3 Gal (Conformation 2),Gal a1-3 Gal,0058,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1O
Gal a1-3 Gal (Conformation 3),Gal a1-3 Gal,0059,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1O
Glc b1-3 Glc (Conformation 1),Glc b1-3 Glc,0060,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
Glc b1-3 Glc (Conformation 2),Glc b1-3 Glc,0061,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
Glc b1-3 Glc (Conformation 3),Glc b1-3 Glc,0062,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
Glc b1-3 Glc (Conformation 4),Glc b1-3 Glc,0063,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
GlcAc b1-3 Gal (Conformation 1),GlcAc b1-3 Gal,0064,CC(O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
GlcAc b1-3 Gal (Conformation 2),GlcAc b1-3 Gal,0065,CC(O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
GlcAc b1-3 Gal (Conformation 3),GlcAc b1-3 Gal,0066,CC(O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
GlcAc b1-3 Gal (Conformation 4),GlcAc b1-3 Gal,0067,CC(O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
GalAc a1-3 GalAc (Conformation 1),GalAc a1-3 GalAc,0068,CC(O)N[C@H]1[C@@H](O[C@@H]2[C@@H](NC(C)O)[C@@H](O)O[C@H](CO)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
GalAc a1-3 GalAc (Conformation 2),GalAc a1-3 GalAc,0069,CC(O)N[C@H]1[C@@H](O[C@@H]2[C@@H](NC(C)O)[C@@H](O)O[C@H](CO)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
GalAc a1-3 GalAc (Conformation 3),GalAc a1-3 GalAc,0070,CC(O)N[C@H]1[C@@H](O[C@@H]2[C@@H](NC(C)O)[C@@H](O)O[C@H](CO)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
Gal b1-3 Gal (Conformation 1),Gal b1-3 Gal,0071,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1O
Gal b1-3 Gal (Conformation 2),Gal b1-3 Gal,0072,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1O
Gal b1-3 Gal (Conformation 3),Gal b1-3 Gal,0073,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1O
Gal b1-3 Gal (Conformation 4),Gal b1-3 Gal,0074,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1O
GalAc b1-3 Gal (Conformation 1),GalAc b1-3 Gal,0075,CC(O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
GalAc b1-3 Gal (Conformation 2),GalAc b1-3 Gal,0076,CC(O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
